ID,Nama,Kode,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Cat_X12,ZX12,PRE_1,RES_1
138,Spokane,WA,1764,361364,27.0,13.2,852,1346,20042,84.4,20.6,9.8,6.2,16365,5914,4,2,-0.54111,18384.06269,-2019.06269
262,Merced,CA,1929,178403,28.2,9.2,185,337,8587,63.1,12.0,15.4,14.6,13961,2491,4,1,-1.13335,15212.81093,-1251.81093
23,Riverside,CA,7208,1170413,27.9,13.2,1385,2435,95494,74.1,14.6,8.4,10.7,17185,20114,4,2,-0.33910,16171.56146,1013.43854
85,Kern,CA,8142,543477,28.3,9.7,682,1194,36318,67.6,13.3,13.7,11.8,15881,8631,4,1,-0.66035,15692.18620,188.81380
135,Santa_Barbara,CA,2739,369608,32.8,12.3,875,1031,18313,80.0,26.6,7.4,6.0,21902,8095,4,2,0.82295,20596.56391,1305.43609
155,Tulare,CA,4824,311921,26.3,10.8,358,656,19489,60.2,11.8,18.0,17.1,14710,4588,4,1,-0.94883,15139.06089,-429.06089
189,Dutchess,NY,802,259462,29.0,11.4,535,741,9087,79.8,24.8,3.6,5.1,22173,5753,1,2,0.88971,19932.81354,2240.18646
221,San_Luis_Obispo,CA,3305,217162,31.4,14.1,424,522,8103,83.3,22.9,6.8,5.8,17221,3740,4,2,-0.33023,19232.18816,-2011.18816
243,Richmond,GA,324,189719,31.1,10.0,1032,1787,17918,70.9,17.3,14.8,4.9,15941,3024,3,1,-0.64557,17167.18701,-1226.18701
8,Wayne,MI,614,2111687,27.4,12.5,3823,9490,193978,70.0,13.7,16.9,10.0,17461,36872,2,2,-0.27111,15839.68628,1621.31372
414,La_Salle,IL,1135,106913,23.8,17.2,104,504,2982,73.1,10.5,8.7,9.6,16119,1723,2,2,-0.60172,14659.68563,1459.31437
250,Larimer,CO,2601,186136,32.1,9.6,278,409,8921,88.6,32.3,6.6,4.1,17140,3190,4,2,-0.35019,22698.44007,-5558.44007
8,Wayne,MI,614,2111687,27.4,12.5,3823,9490,193978,70.0,13.7,16.9,10.0,17461,36872,2,2,-0.27111,15839.68628,1621.31372
7,Maricopa,AZ,9204,2122101,29.2,12.5,4320,6104,177593,81.5,22.1,8.8,4.9,18042,38287,4,2,-0.12798,18937.18799,-895.18799
231,Greene,MO,675,207949,31.0,13.3,490,1785,13551,78.9,20.7,9.2,4.8,16630,3458,2,2,-0.47583,18420.93771,-1790.93771
309,Penobscot,ME,3396,146601,30.0,11.5,268,598,4749,79.1,17.7,9.5,8.0,15521,2275,1,1,-0.74904,17314.68709,-1793.68709
300,Clermont,OH,452,150187,28.1,8.7,82,151,5114,72.8,14.5,7.4,6.0,16231,2438,2,2,-0.57412,16134.68644,96.31356
138,Spokane,WA,1764,361364,27.0,13.2,852,1346,20042,84.4,20.6,9.8,6.2,16365,5914,4,2,-0.54111,18384.06269,-2019.06269
80,Montgomery,OH,462,573809,28.1,12.6,1313,3068,36665,77.8,20.0,9.8,5.7,18410,10564,2,2,-0.03732,18162.81256,247.18744
357,Centre,PA,1108,123786,45.0,9.0,178,270,4136,83.6,32.3,6.2,6.1,15476,1916,1,1,-0.76012,22698.44007,-7222.44007
39,Fairfield,CT,626,827645,26.7,13.3,2417,2494,44374,81.0,34.2,4.5,5.9,32342,26768,1,4,3.39489,23399.06546,8942.93454
7,Maricopa,AZ,9204,2122101,29.2,12.5,4320,6104,177593,81.5,22.1,8.8,4.9,18042,38287,4,2,-0.12798,18937.18799,-895.18799
380,Pinal,AZ,5370,116379,24.4,13.7,61,309,6275,65.5,8.2,18.7,7.9,11396,1326,4,1,-1.76525,13811.56016,-2415.56016
34,Palm_Beach,FL,1974,863518,23.3,24.4,1833,3164,76142,78.8,22.1,6.2,8.4,26798,23141,3,3,2.02910,18937.18799,7860.81201
437,Martin,FL,556,100900,20.4,27.5,193,277,5081,79.7,20.3,5.0,9.8,27125,2737,3,3,2.10966,18273.43762,8851.56238
7,Maricopa,AZ,9204,2122101,29.2,12.5,4320,6104,177593,81.5,22.1,8.8,4.9,18042,38287,4,2,-0.12798,18937.18799,-895.18799
